index,operation_id,phase,operation_class,history_id,case_id,parent_operations,owner_role,receipt_type
1,hs-op-001,PREPARE,RUN_PREPARE,,,ROOT,run_owner,S2HSRunPreparationReceipt
2,hs-op-002,PREPARE,SOURCE_MANIFEST_BIND,,,hs-op-001,run_owner,S2HSSourceManifestReceipt
3,hs-op-003,PREPARE,MASKED_PROBE_BIND,,,hs-op-002,run_owner,S2HSMaskedProbeReceipt
4,hs-op-004,FORMATION,HISTORY_INITIALIZE,h0,,hs-op-002,h0_history_owner,S2HSHistoryInitialReceipt
5,hs-op-005,FORMATION,RECEPTOR_ANALYZE,h0,,hs-op-004,h0_step_01_owner,S2HSReceptorReceipt
6,hs-op-006,FORMATION,COMPOSITE_FORM,h0,,hs-op-005,h0_step_01_owner,S2HSFormationReceipt
7,hs-op-007,FORMATION,RECEPTOR_ANALYZE,h0,,hs-op-006,h0_step_02_owner,S2HSReceptorReceipt
8,hs-op-008,FORMATION,COMPOSITE_FORM,h0,,hs-op-007,h0_step_02_owner,S2HSFormationReceipt
9,hs-op-009,FORMATION,RECEPTOR_ANALYZE,h0,,hs-op-008,h0_step_03_owner,S2HSReceptorReceipt
10,hs-op-010,FORMATION,COMPOSITE_FORM,h0,,hs-op-009,h0_step_03_owner,S2HSFormationReceipt
11,hs-op-011,FORMATION,RECEPTOR_ANALYZE,h0,,hs-op-010,h0_step_04_owner,S2HSReceptorReceipt
12,hs-op-012,FORMATION,COMPOSITE_FORM,h0,,hs-op-011,h0_step_04_owner,S2HSFormationReceipt
13,hs-op-013,FORMATION,RECEPTOR_ANALYZE,h0,,hs-op-012,h0_step_05_owner,S2HSReceptorReceipt
14,hs-op-014,FORMATION,COMPOSITE_FORM,h0,,hs-op-013,h0_step_05_owner,S2HSFormationReceipt
15,hs-op-015,PROBE,RECEPTOR_ANALYZE,h0,,hs-op-014,h0_probe_owner,S2HSReceptorReceipt
16,hs-op-016,PROBE,COMPOSITE_READ_ONLY,h0,,hs-op-015,h0_probe_owner,S2HSReadOnlyReceipt
17,hs-op-017,PROJECTION,S2GC_PROJECT,h0,,hs-op-016,h0_projection_owner,S2HSS2GCProjectionReceipt
18,hs-op-018,PROJECTION,S2GI_PROJECT,h0,,hs-op-017,h0_projection_owner,S2HSS2GIProjectionReceipt
19,hs-op-019,PROJECTION,HISTORY_INVARIANT_SEAL,h0,,hs-op-014|hs-op-016|hs-op-018,h0_history_owner,S2HSHistoryEvidenceReceipt
20,hs-op-020,FORMATION,HISTORY_INITIALIZE,h1,,hs-op-002,h1_history_owner,S2HSHistoryInitialReceipt
21,hs-op-021,FORMATION,RECEPTOR_ANALYZE,h1,,hs-op-020,h1_step_01_owner,S2HSReceptorReceipt
22,hs-op-022,FORMATION,COMPOSITE_FORM,h1,,hs-op-021,h1_step_01_owner,S2HSFormationReceipt
23,hs-op-023,FORMATION,RECEPTOR_ANALYZE,h1,,hs-op-022,h1_step_02_owner,S2HSReceptorReceipt
24,hs-op-024,FORMATION,COMPOSITE_FORM,h1,,hs-op-023,h1_step_02_owner,S2HSFormationReceipt
25,hs-op-025,FORMATION,RECEPTOR_ANALYZE,h1,,hs-op-024,h1_step_03_owner,S2HSReceptorReceipt
26,hs-op-026,FORMATION,COMPOSITE_FORM,h1,,hs-op-025,h1_step_03_owner,S2HSFormationReceipt
27,hs-op-027,FORMATION,RECEPTOR_ANALYZE,h1,,hs-op-026,h1_step_04_owner,S2HSReceptorReceipt
28,hs-op-028,FORMATION,COMPOSITE_FORM,h1,,hs-op-027,h1_step_04_owner,S2HSFormationReceipt
29,hs-op-029,FORMATION,RECEPTOR_ANALYZE,h1,,hs-op-028,h1_step_05_owner,S2HSReceptorReceipt
30,hs-op-030,FORMATION,COMPOSITE_FORM,h1,,hs-op-029,h1_step_05_owner,S2HSFormationReceipt
31,hs-op-031,PROBE,RECEPTOR_ANALYZE,h1,,hs-op-030,h1_probe_owner,S2HSReceptorReceipt
32,hs-op-032,PROBE,COMPOSITE_READ_ONLY,h1,,hs-op-031,h1_probe_owner,S2HSReadOnlyReceipt
33,hs-op-033,PROJECTION,S2GC_PROJECT,h1,,hs-op-032,h1_projection_owner,S2HSS2GCProjectionReceipt
34,hs-op-034,PROJECTION,S2GI_PROJECT,h1,,hs-op-033,h1_projection_owner,S2HSS2GIProjectionReceipt
35,hs-op-035,PROJECTION,HISTORY_INVARIANT_SEAL,h1,,hs-op-030|hs-op-032|hs-op-034,h1_history_owner,S2HSHistoryEvidenceReceipt
36,hs-op-036,CONSUME,ROLE_BIND,h0,c01,hs-op-003|hs-op-019,c01_case_owner,S2HSRoleBindingReceipt
37,hs-op-037,CONSUME,ROLE_CONSUMER,h0,c01,hs-op-036,c01_consumer_owner,S2HSArmReceipt
38,hs-op-038,CONSUME,DIRECT_BASELINE,h0,c01,hs-op-036,c01_baseline_owner,S2HSArmReceipt
39,hs-op-039,CONSUME,CASE_EVIDENCE_SEAL,h0,c01,hs-op-037|hs-op-038,c01_case_owner,S2HSCaseEvidenceReceipt
40,hs-op-040,CONSUME,ROLE_BIND,h0,c02,hs-op-003|hs-op-019,c02_case_owner,S2HSRoleBindingReceipt
41,hs-op-041,CONSUME,ROLE_CONSUMER,h0,c02,hs-op-040,c02_consumer_owner,S2HSArmReceipt
42,hs-op-042,CONSUME,DIRECT_BASELINE,h0,c02,hs-op-040,c02_baseline_owner,S2HSArmReceipt
43,hs-op-043,CONSUME,CASE_EVIDENCE_SEAL,h0,c02,hs-op-041|hs-op-042,c02_case_owner,S2HSCaseEvidenceReceipt
44,hs-op-044,CONSUME,ROLE_BIND,h1,c03,hs-op-003|hs-op-035,c03_case_owner,S2HSRoleBindingReceipt
45,hs-op-045,CONSUME,ROLE_CONSUMER,h1,c03,hs-op-044,c03_consumer_owner,S2HSArmReceipt
46,hs-op-046,CONSUME,DIRECT_BASELINE,h1,c03,hs-op-044,c03_baseline_owner,S2HSArmReceipt
47,hs-op-047,CONSUME,CASE_EVIDENCE_SEAL,h1,c03,hs-op-045|hs-op-046,c03_case_owner,S2HSCaseEvidenceReceipt
48,hs-op-048,CONSUME,ROLE_BIND,h1,c04,hs-op-003|hs-op-035,c04_case_owner,S2HSRoleBindingReceipt
49,hs-op-049,CONSUME,ROLE_CONSUMER,h1,c04,hs-op-048,c04_consumer_owner,S2HSArmReceipt
50,hs-op-050,CONSUME,DIRECT_BASELINE,h1,c04,hs-op-048,c04_baseline_owner,S2HSArmReceipt
51,hs-op-051,CONSUME,CASE_EVIDENCE_SEAL,h1,c04,hs-op-049|hs-op-050,c04_case_owner,S2HSCaseEvidenceReceipt
52,hs-op-052,SEAL,EXECUTION_EVIDENCE_SEAL,,,hs-op-019|hs-op-035|hs-op-039|hs-op-043|hs-op-047|hs-op-051,run_owner,S2HSExecutionEvidencePackage
53,hs-op-053,EVALUATE,EVALUATION_RUN_BINDING,,,hs-op-052|external-evaluation-plan-seal,evaluation_owner,S2HSEvaluationRunBinding
54,hs-op-054,EVALUATE,CASE_EVALUATE,,c01,hs-op-039|hs-op-053,evaluation_owner,S2HSEvaluationFinding
55,hs-op-055,EVALUATE,CASE_EVALUATE,,c02,hs-op-043|hs-op-053,evaluation_owner,S2HSEvaluationFinding
56,hs-op-056,EVALUATE,CASE_EVALUATE,,c03,hs-op-047|hs-op-053,evaluation_owner,S2HSEvaluationFinding
57,hs-op-057,EVALUATE,CASE_EVALUATE,,c04,hs-op-051|hs-op-053,evaluation_owner,S2HSEvaluationFinding
58,hs-op-058,EVALUATE,AGGREGATE_DECISION,,,hs-op-054|hs-op-055|hs-op-056|hs-op-057,evaluation_owner,S2HSAggregateFinding
59,hs-op-059,COMPLETE,TERMINAL_PREPARE,,,hs-op-052|hs-op-058,run_owner,S2HSTerminalFinding
60,hs-op-060,COMPLETE,COMPLETE_PUBLISH,,,hs-op-059,run_owner,S2HSCompletionMarker
